id,A,B
0,big_cat.n.01,carnivore.n.01
1,musteline_mammal.n.01,carnivore.n.01
2,yak.n.02,ox.n.02
3,impala.n.01,mammal.n.01
4,drill.n.02,monkey.n.01
5,hereford.n.01,beef.n.01
6,gordon_setter.n.01,mammal.n.01
7,giant_schnauzer.n.01,placental.n.01
8,finback.n.01,whale.n.02
9,ermine.n.02,placental.n.01
10,jaculus_jaculus.n.01,rodent.n.01
11,dugong.n.01,placental.n.01
12,slender_loris.n.01,placental.n.01
13,pteropus_capestratus.n.01,placental.n.01
14,poodle.n.01,placental.n.01
15,sheep.n.01,placental.n.01
16,fisher.n.02,carnivore.n.01
17,mesohippus.n.01,ungulate.n.01
18,pine_vole.n.01,placental.n.01
19,hunting_dog.n.01,canine.n.02
20,cougar.n.01,cat.n.01
21,black_sheep.n.02,even-toed_ungulate.n.01
22,durham.n.02,bovid.n.01
23,dark_horse.n.02,mammal.n.01
24,exmoor.n.01,domestic_sheep.n.01
25,steller_sea_lion.n.01,pinniped_mammal.n.01
26,indian_elephant.n.01,pachyderm.n.01
27,count_fleet.n.01,thoroughbred.n.02
28,palm_cat.n.01,carnivore.n.01
29,skye_terrier.n.01,dog.n.01
30,great_dane.n.01,placental.n.01
31,southeastern_pocket_gopher.n.01,mammal.n.01
32,count_fleet.n.01,ungulate.n.01
33,elephant_seal.n.01,seal.n.09
34,kangaroo_rat.n.01,mammal.n.01
35,bullock.n.01,ruminant.n.01
36,kudu.n.01,antelope.n.01
37,two-year-old_horse.n.01,ungulate.n.01
38,suricate.n.01,viverrine.n.01
39,wild_goat.n.01,even-toed_ungulate.n.01
40,blackbuck.n.01,even-toed_ungulate.n.01
41,boxer.n.04,placental.n.01
42,welsh.n.03,placental.n.01
43,mule_deer.n.01,placental.n.01
44,atlantic_bottlenose_dolphin.n.01,mammal.n.01
45,desmodus_rotundus.n.01,vampire_bat.n.01
46,lakeland_terrier.n.01,wirehair.n.01
47,black-tailed_deer.n.01,deer.n.01
48,wolf_pup.n.01,mammal.n.01
49,earless_seal.n.01,pinniped_mammal.n.01
50,bluetick.n.01,canine.n.02
51,brown_swiss.n.01,mammal.n.01
52,clumber.n.01,carnivore.n.01
53,sand_rat.n.02,placental.n.01
54,indian_rhinoceros.n.01,rhinoceros.n.01
55,eastern_dasyure.n.01,metatherian.n.01
56,cardigan.n.02,placental.n.01
57,dingo.n.01,wild_dog.n.01
58,anthropoid_ape.n.01,mammal.n.01
59,gazella_subgutturosa.n.01,bovid.n.01
60,cheviot.n.01,ungulate.n.01
61,affirmed.n.01,horse.n.01
62,hare.n.01,placental.n.01
63,mare.n.01,mammal.n.01
64,tiger_cub.n.01,carnivore.n.01
65,kangaroo_mouse.n.01,rat.n.01
66,fruit_bat.n.01,mammal.n.01
67,sable_antelope.n.01,ruminant.n.01
68,feist.n.01,placental.n.01
69,asian_wild_ox.n.01,ungulate.n.01
70,draft_horse.n.01,workhorse.n.02
71,takin.n.01,mammal.n.01
72,little_brown_bat.n.01,carnivorous_bat.n.01
73,black-and-tan_coonhound.n.01,mammal.n.01
