id,from,to
0,mammal.n.01,placental.n.01
1,placental.n.01,carnivore.n.01
2,carnivore.n.01,feline.n.01
3,feline.n.01,cat.n.01
4,cat.n.01,domestic_cat.n.01
5,domestic_cat.n.01,tom.n.02
6,mammal.n.01,placental.n.01
7,placental.n.01,primate.n.02
8,primate.n.02,hominid.n.01
9,hominid.n.01,dryopithecine.n.01
10,dryopithecine.n.01,rudapithecus.n.01
11,mammal.n.01,placental.n.01
12,placental.n.01,carnivore.n.01
13,carnivore.n.01,canine.n.02
14,canine.n.02,fox.n.01
15,fox.n.01,red_fox.n.03
16,mammal.n.01,placental.n.01
17,placental.n.01,carnivore.n.01
18,carnivore.n.01,musteline_mammal.n.01
19,musteline_mammal.n.01,badger.n.02
20,mammal.n.01,placental.n.01
21,placental.n.01,rodent.n.01
22,rodent.n.01,rat.n.01
23,rat.n.01,brown_rat.n.01
24,brown_rat.n.01,wharf_rat.n.02
25,mammal.n.01,placental.n.01
26,placental.n.01,ungulate.n.01
27,ungulate.n.01,odd-toed_ungulate.n.01
28,odd-toed_ungulate.n.01,equine.n.01
29,equine.n.01,horse.n.01
30,horse.n.01,workhorse.n.02
31,workhorse.n.02,draft_horse.n.01
32,draft_horse.n.01,wheel_horse.n.01
33,mammal.n.01,placental.n.01
34,placental.n.01,ungulate.n.01
35,ungulate.n.01,odd-toed_ungulate.n.01
36,odd-toed_ungulate.n.01,equine.n.01
37,equine.n.01,horse.n.01
38,horse.n.01,saddle_horse.n.01
39,saddle_horse.n.01,arabian.n.02
40,mammal.n.01,placental.n.01
41,placental.n.01,ungulate.n.01
42,ungulate.n.01,odd-toed_ungulate.n.01
43,odd-toed_ungulate.n.01,equine.n.01
44,equine.n.01,horse.n.01
45,horse.n.01,racehorse.n.01
46,racehorse.n.01,pony.n.02
47,mammal.n.01,placental.n.01
48,placental.n.01,ungulate.n.01
49,ungulate.n.01,even-toed_ungulate.n.01
50,even-toed_ungulate.n.01,ruminant.n.01
51,mammal.n.01,placental.n.01
52,placental.n.01,carnivore.n.01
53,carnivore.n.01,canine.n.02
54,canine.n.02,bitch.n.04
55,bitch.n.04,brood_bitch.n.01
56,mammal.n.01,placental.n.01
57,placental.n.01,carnivore.n.01
58,carnivore.n.01,musteline_mammal.n.01
59,musteline_mammal.n.01,marten.n.01
60,mammal.n.01,placental.n.01
61,placental.n.01,ungulate.n.01
62,ungulate.n.01,odd-toed_ungulate.n.01
63,odd-toed_ungulate.n.01,equine.n.01
64,equine.n.01,horse.n.01
65,horse.n.01,workhorse.n.02
66,mammal.n.01,placental.n.01
67,placental.n.01,rodent.n.01
68,rodent.n.01,mountain_beaver.n.01
69,mammal.n.01,placental.n.01
70,placental.n.01,bat.n.01
71,bat.n.01,carnivorous_bat.n.01
72,carnivorous_bat.n.01,vampire_bat.n.01
73,vampire_bat.n.01,desmodus_rotundus.n.01
74,mammal.n.01,placental.n.01
75,placental.n.01,ungulate.n.01
76,ungulate.n.01,even-toed_ungulate.n.01
77,even-toed_ungulate.n.01,ruminant.n.01
78,ruminant.n.01,bovid.n.01
79,bovid.n.01,bovine.n.01
80,bovine.n.01,ox.n.02
81,ox.n.02,banteng.n.01
82,mammal.n.01,placental.n.01
83,placental.n.01,carnivore.n.01
84,carnivore.n.01,canine.n.02
85,canine.n.02,dog.n.01
86,dog.n.01,working_dog.n.01
87,working_dog.n.01,shepherd_dog.n.01
88,shepherd_dog.n.01,komondor.n.01
89,mammal.n.01,placental.n.01
90,placental.n.01,rodent.n.01
91,rodent.n.01,wood_rat.n.01
92,wood_rat.n.01,vole.n.01
93,vole.n.01,pine_vole.n.01
94,mammal.n.01,placental.n.01
95,placental.n.01,aquatic_mammal.n.01
96,aquatic_mammal.n.01,cetacean.n.01
97,cetacean.n.01,whale.n.02
98,whale.n.02,toothed_whale.n.01
99,toothed_whale.n.01,sperm_whale.n.01
100,mammal.n.01,placental.n.01
101,placental.n.01,aquatic_mammal.n.01
102,aquatic_mammal.n.01,sea_cow.n.01
103,sea_cow.n.01,dugong.n.01
104,mammal.n.01,placental.n.01
105,placental.n.01,carnivore.n.01
106,carnivore.n.01,canine.n.02
107,canine.n.02,dog.n.01
108,dog.n.01,hunting_dog.n.01
109,hunting_dog.n.01,hound.n.01
110,hound.n.01,bloodhound.n.01
111,mammal.n.01,placental.n.01
112,placental.n.01,carnivore.n.01
113,carnivore.n.01,feline.n.01
114,feline.n.01,cat.n.01
115,cat.n.01,wildcat.n.03
116,wildcat.n.03,kaffir_cat.n.01
117,mammal.n.01,placental.n.01
118,placental.n.01,ungulate.n.01
119,ungulate.n.01,odd-toed_ungulate.n.01
120,odd-toed_ungulate.n.01,equine.n.01
121,equine.n.01,horse.n.01
122,horse.n.01,chestnut.n.06
123,mammal.n.01,placental.n.01
124,placental.n.01,aquatic_mammal.n.01
125,aquatic_mammal.n.01,pinniped_mammal.n.01
126,pinniped_mammal.n.01,seal.n.09
127,seal.n.09,earless_seal.n.01
128,mammal.n.01,metatherian.n.01
129,metatherian.n.01,marsupial.n.01
130,marsupial.n.01,dasyurid_marsupial.n.01
131,dasyurid_marsupial.n.01,numbat.n.01
132,mammal.n.01,placental.n.01
133,placental.n.01,primate.n.02
134,primate.n.02,ape.n.01
135,ape.n.01,anthropoid_ape.n.01
136,anthropoid_ape.n.01,great_ape.n.01
137,great_ape.n.01,gorilla.n.01
138,gorilla.n.01,silverback.n.01
139,mammal.n.01,placental.n.01
140,placental.n.01,carnivore.n.01
141,carnivore.n.01,canine.n.02
142,canine.n.02,dog.n.01
143,dog.n.01,hunting_dog.n.01
144,hunting_dog.n.01,sporting_dog.n.01
145,sporting_dog.n.01,pointer.n.04
146,mammal.n.01,placental.n.01
147,placental.n.01,rodent.n.01
148,rodent.n.01,mouse.n.01
149,mouse.n.01,wood_mouse.n.01
150,wood_mouse.n.01,white-footed_mouse.n.01
151,mammal.n.01,placental.n.01
152,placental.n.01,rodent.n.01
153,rodent.n.01,hamster.n.01
154,hamster.n.01,golden_hamster.n.01
155,mammal.n.01,placental.n.01
156,placental.n.01,carnivore.n.01
157,carnivore.n.01,canine.n.02
158,canine.n.02,dog.n.01
159,dog.n.01,toy_dog.n.01
160,toy_dog.n.01,shih-tzu.n.01
161,mammal.n.01,placental.n.01
162,placental.n.01,carnivore.n.01
163,carnivore.n.01,bear.n.01
164,bear.n.01,bear_cub.n.01
165,mammal.n.01,placental.n.01
166,placental.n.01,carnivore.n.01
167,carnivore.n.01,canine.n.02
168,canine.n.02,dog.n.01
169,dog.n.01,spitz.n.01
170,spitz.n.01,keeshond.n.01
171,mammal.n.01,placental.n.01
172,placental.n.01,aquatic_mammal.n.01
173,aquatic_mammal.n.01,cetacean.n.01
174,cetacean.n.01,whale.n.02
175,whale.n.02,toothed_whale.n.01
176,toothed_whale.n.01,dolphin.n.02
177,dolphin.n.02,river_dolphin.n.01
178,mammal.n.01,placental.n.01
179,placental.n.01,carnivore.n.01
180,carnivore.n.01,canine.n.02
181,canine.n.02,dog.n.01
182,dog.n.01,hunting_dog.n.01
183,hunting_dog.n.01,dachshund.n.01
184,dachshund.n.01,sausage_dog.n.01
185,mammal.n.01,placental.n.01
186,placental.n.01,rodent.n.01
187,rodent.n.01,squirrel.n.01
188,squirrel.n.01,eastern_chipmunk.n.01
189,mammal.n.01,placental.n.01
190,placental.n.01,bat.n.01
191,bat.n.01,carnivorous_bat.n.01
192,carnivorous_bat.n.01,vampire_bat.n.01
193,vampire_bat.n.01,hairy-legged_vampire_bat.n.01
